https://github.com/ros2/rosidl.git,3.1.14,Apache-2.0
https://github.com/ros2/rosidl_core.git,no such name humble,Apache-2.0
https://github.com/ros2/rosidl_dds.git,0.8.1,Apache-2.0
https://github.com/ros2/rosidl_defaults.git,1.2.0,Apache-2.0
https://github.com/ros2/rosidl_dynamic_typesupport,no such name humble,Apache-2.0
https://github.com/ros2/rosidl_dynamic_typesupport_fastrtps,no such name humble,Apache-2.0
https://github.com/ros2/rosidl_python.git,0.14.4,Apache-2.0
https://github.com/ros2/rosidl_runtime_py.git,0.9.3,Apache-2.0
https://github.com/ros2/rosidl_typesupport.git,2.0.0,Apache-2.0
https://github.com/ros2/rosidl_typesupport_fastrtps.git,2.2.0,Apache-2.0
https://github.com/ros2/rpyutils.git,0.2.1,Apache-2.0
https://github.com/ros2/rviz.git,11.2.5,Apache-2.0
https://github.com/ros2/spdlog_vendor.git,1.3.1,Apache-2.0
https://github.com/ros2/sros2.git,0.10.4,Apache-2.0
https://github.com/ros2/system_tests.git,0.12.3,Apache-2.0
https://github.com/ros2/test_interface_files.git,0.9.1,Apache-2.0
https://github.com/ros2/tinyxml2_vendor.git,0.7.5,Apache-2.0
https://github.com/ros2/tinyxml_vendor.git,0.8.3,Apache-2.0
https://github.com/ros2/tlsf.git,0.7.0,no license
https://github.com/ros2/unique_identifier_msgs.git,2.2.1,BSD-3-Clause
https://github.com/ros2/urdf.git,2.6.0,BSD-3-Clause
https://github.com/ros2/yaml_cpp_vendor.git,8.0.2,no license
